book_id,isbn,isbn13,authors,original_publication_year,original_title,title,average_rating
1,439023483,9780439023480,Suzanne Collins,2008,The Hunger Games,"The Hunger Games (The Hunger Games, #1)",4.34
2,439554934,9780439554930,"J.K. Rowling, Mary GrandPré",1997,Harry Potter and the Philosopher's Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.44
3,316015849,9780316015840,Stephenie Meyer,2005,Twilight,"Twilight (Twilight, #1)",3.57
4,61120081,9780061120080,Harper Lee,1960,To Kill a Mockingbird,To Kill a Mockingbird,4.25
5,743273567,9780743273560,F. Scott Fitzgerald,1925,The Great Gatsby,The Great Gatsby,3.89
6,525478817,9780525478810,John Green,2012,The Fault in Our Stars,The Fault in Our Stars,4.26
7,618260307,9780618260300,J.R.R. Tolkien,1937,The Hobbit or There and Back Again,The Hobbit,4.25
8,316769177,9780316769170,J.D. Salinger,1951,The Catcher in the Rye,The Catcher in the Rye,3.79
9,1416524797,9781416524790,Dan Brown,2000,Angels & Demons ,"Angels & Demons  (Robert Langdon, #1)",3.85
10,679783261,9780679783270,Jane Austen,1813,Pride and Prejudice,Pride and Prejudice,4.24
11,1594480001,9781594480000,Khaled Hosseini,2003,The Kite Runner ,The Kite Runner,4.26
12,62024035,9780062024040,Veronica Roth,2011,Divergent,"Divergent (Divergent, #1)",4.24
13,451524934,9780451524940,"George Orwell, Erich Fromm, Celâl Üster",1949,Nineteen Eighty-Four,1984,4.14
14,452284244,9780452284240,George Orwell,1945,Animal Farm: A Fairy Story,Animal Farm,3.87
15,553296981,9780553296980,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,The Diary of a Young Girl,4.1
16,307269752,9780307269750,"Stieg Larsson, Reg Keeland",2005,Män som hatar kvinnor,"The Girl with the Dragon Tattoo (Millennium, #1)",4.11
17,439023491,9780439023500,Suzanne Collins,2009,Catching Fire,"Catching Fire (The Hunger Games, #2)",4.3
18,043965548X,9780439655480,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,Harry Potter and the Prisoner of Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.53
19,618346252,9780618346260,J.R.R. Tolkien,1954, The Fellowship of the Ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.34
20,439023513,9780439023510,Suzanne Collins,2010,Mockingjay,"Mockingjay (The Hunger Games, #3)",4.03
21,439358078,9780439358070,"J.K. Rowling, Mary GrandPré",2003,Harry Potter and the Order of the Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46
22,316166685,9780316166680,Alice Sebold,2002,The Lovely Bones,The Lovely Bones,3.77
23,439064864,9780439064870,"J.K. Rowling, Mary GrandPré",1998,Harry Potter and the Chamber of Secrets,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37
24,439139600,9780439139600,"J.K. Rowling, Mary GrandPré",2000,Harry Potter and the Goblet of Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53
25,545010225,9780545010220,"J.K. Rowling, Mary GrandPré",2007,Harry Potter and the Deathly Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61
26,307277674,9780307277670,Dan Brown,2003,The Da Vinci Code,"The Da Vinci Code (Robert Langdon, #2)",3.79
27,439785960,9780439785970,"J.K. Rowling, Mary GrandPré",2005,Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54
28,140283331,9780140283330,William Golding,1954,Lord of the Flies ,Lord of the Flies,3.64
29,743477111,9780743477120,"William Shakespeare, Robert           Jackson",1595,An Excellent conceited Tragedie of Romeo and Juliet,Romeo and Juliet,3.73
30,297859382,9780297859380,Gillian Flynn,2012,Gone Girl,Gone Girl,4.03
31,399155341,9780399155340,Kathryn Stockett,2009,The Help,The Help,4.45
32,142000671,9780142000670,John Steinbeck,1937,Of Mice and Men ,Of Mice and Men,3.84
33,739326228,9780739326220,Arthur Golden,1997,Memoirs of a Geisha,Memoirs of a Geisha,4.08
34,1612130291,9781612130290,E.L. James,2011,Fifty Shades of Grey,"Fifty Shades of Grey (Fifty Shades, #1)",3.67
35,61122416,9780061122420,"Paulo Coelho, Alan R. Clarke",1988,O Alquimista,The Alchemist,3.82
36,385732554,9780385732550,Lois Lowry,1993,The Giver,"The Giver (The Giver, #1)",4.12
37,60764899,9780060764890,C.S. Lewis,1950,"The Lion, the Witch and the Wardrobe","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4.19
38,965818675,9780965818670,Audrey Niffenegger,2003,The Time Traveler's Wife,The Time Traveler's Wife,3.95
39,553588486,9780553588480,George R.R. Martin,1996,A Game of Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",4.45
40,143038419,9780143038410,Elizabeth Gilbert,2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia","Eat, Pray, Love",3.51
41,786838655,9780786838650,Rick Riordan,2005,The Lightning Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.23
42,451529308,9780451529300,Louisa May Alcott,1868,Little Women,"Little Women (Little Women, #1)",4.04
43,142437204,9780142437210,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,Jane Eyre,4.1
44,553816713,9780553816720,Nicholas Sparks,1996,The Notebook,"The Notebook (The Notebook, #1)",4.06
45,770430074,9780770430080,Yann Martel,2001,Life of Pi,Life of Pi,3.88
46,1565125606,9781565125600,Sara Gruen,2006,Water for Elephants,Water for Elephants,4.07
47,375831002,9780375831000,Markus Zusak,2005,The Book Thief,The Book Thief,4.36
48,307347974,9780307347980,Ray Bradbury,1953,Fahrenheit 451,Fahrenheit 451,3.97
49,316160199,9780316160190,Stephenie Meyer,2006,"New Moon (Twilight, #2)","New Moon (Twilight, #2)",3.52
50,60513039,9780060513030,Shel Silverstein,1974,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Where the Sidewalk Ends,4.29
51,1416914285,9781416914280,Cassandra Clare,2007,City of Bones,"City of Bones (The Mortal Instruments, #1)",4.12
52,316160202,9780316160210,Stephenie Meyer,2007,Eclipse,"Eclipse (Twilight, #3)",3.69
53,375826696,9780375826700,Christopher Paolini,2002,Eragon,"Eragon (The Inheritance Cycle, #1)",3.86
54,345391802,9780345391800,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.2
55,60929871,9780060929880,Aldous Huxley,1932,Brave New World,Brave New World,3.97
56,031606792X,9780316067930,Stephenie Meyer,2008,Breaking Dawn,"Breaking Dawn (Twilight, #4)",3.7
57,142001740,9780142001740,Sue Monk Kidd,2001,The Secret Life of Bees,The Secret Life of Bees,4.01
58,142437174,9780142437180,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,3.8
59,64410935,9780064410940,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,Charlotte's Web,4.15
60,1400032717,9781400032720,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,The Curious Incident of the Dog in the Night-Time,3.85
61,1594633665,9781594633670,Paula Hawkins,2015,The Girl on the Train,The Girl on the Train,3.88
62,679879242,9780679879240,Philip Pullman,1995,Northern Lights,"The Golden Compass (His Dark Materials, #1)",3.94
63,393978893,9780393978900,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,Wuthering Heights,3.82
64,743454537,9780743454540,Jodi Picoult,2004,My Sister's Keeper,My Sister's Keeper,4.06
65,385333846,9780385333850,Kurt Vonnegut Jr.,1969,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Slaughterhouse-Five,4.06
66,446675539,9780446675540,Margaret Mitchell,1936,Gone with the Wind,Gone with the Wind,4.28
67,1594489505,9781594489500,Khaled Hosseini,2007,A Thousand Splendid Suns,A Thousand Splendid Suns,4.34
68,671027344,9780671027350,Stephen Chbosky,1999,The Perks of Being a Wallflower,The Perks of Being a Wallflower,4.21
69,7442912,9780007442910,Veronica Roth,2012,Insurgent,"Insurgent (Divergent, #2)",4.07
70,812550706,9780812550700,Orson Scott Card,1985,Ender's Game,"Ender's Game (Ender's Saga, #1)",4.3
71,141439475,9780141439470,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,"Frankenstein; or, The Modern Prometheus",Frankenstein,3.75
72,450040186,9780450040180,Stephen King,1977,The Shining,The Shining (The Shining #1),4.17
73,316068047,9780316068050,Stephenie Meyer,2008,The Host,"The Host (The Host, #1)",3.84
74,142402516,9780142402510,John Green,2005,Looking for Alaska,Looking for Alaska,4.09
76,141439661,9780141439660,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,Sense and Sensibility,4.06
77,439244196,9780439244190,"Louis Sachar, Louis Sachar",1998,Holes,"Holes (Holes, #1)",3.93
78,307275558,9780307275550,Lauren Weisberger,2003,The Devil Wears Prada,"The Devil Wears Prada (The Devil Wears Prada, #1)",3.7
79,143039954,9780143039950,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,Ὀδύσσεια,The Odyssey,3.73
80,156012197,9780156012200,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,Le Petit Prince,The Little Prince,4.28
81,074324754X,9780743247540,Jeannette Walls,2005,The Glass Castle,The Glass Castle,4.24
82,385486804,9780385486800,Jon Krakauer,1996,Into the Wild,Into the Wild,3.94
83,141439602,9780141439600,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,A Tale of Two Cities,3.81
84,030734813X,9780307348140,Michael Crichton,1990,Jurassic Park,"Jurassic Park (Jurassic Park, #1)",3.96
85,60256656,9780060256650,Shel Silverstein,1964,The Giving Tree,The Giving Tree,4.38
86,385338600,9780385338610,John Grisham,1989,A Time to Kill,A Time to Kill,4.03
87,374500010,9780374500020,"Elie Wiesel, Marion Wiesel",1958,Un di Velt Hot Geshvign,Night (The Night Trilogy #1),4.3
88,014241493X,9780142414930,John Green,2008,Paper Towns,Paper Towns,3.88
89,345418263,9780345418260,William Goldman,1973,The Princess Bride,The Princess Bride ,4.25
90,014038572X,9780140385720,S.E. Hinton,1967,The Outsiders,The Outsiders,4.06
91,385737947,9780385737940,James Dashner,2009,The Maze Runner,"The Maze Runner (Maze Runner, #1)",4.02
92,61234001,9780061234000,"Steven D. Levitt, Stephen J. Dubner",2005,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",3.93
93,517189607,9780517189600,Frances Hodgson Burnett,1911,The Secret Garden,The Secret Garden,4.12
94,60531045,9780060531040,"Gabriel García Márquez, Gregory Rabassa",1967,Cien años de soledad,One Hundred Years of Solitude,4.04
95,375751513,9780375751520,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,The Picture of Dorian Gray,4.06
96,345803507,9780345803500,E.L. James,2012,Fifty Shades Freed,"Fifty Shades Freed (Fifty Shades, #3)",3.88
97,393970124,9780393970130,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,Dracula,3.98
